,smiles
284,C1=NCN=C[NH2+]1
285,C1C[NH+]2CCC1CC2
286,C1=NOCN1
287,C1CC2CC1C[NH2+]2
288,C1=CNCCSC1
289,C1COCCOCCOCCOCCO1
290,C1=CN=[NH+]C=C1
291,C1=NCCCO1
292,N=S
293,C1N2CN3CN1C[NH+](C2)C3
294,C1COCCSC1
295,C1=CC2C=CC(C1)CC2
296,[NH-]N
297,C1=CCSC=C1
298,C1=C[N-]C=C1
299,C1=CNOC1
300,C1=[NH+]CCNC1
301,C1=NCCSC1
302,C1CCOCNC1
303,C1NC2CCOC(C2)N1
304,C1C2CN3CC[NH+](C2)CC1C3
305,N#[NH+]
306,OP
307,C1=NCNN=C1
308,C1=CC[NH2+]C1
309,C1CC2CCC1N2
310,C1=CN=NNC1
311,C1=NC=[NH+]CC1
312,C1=CSC=[NH+]1
313,C1=NCCNCC1
314,C1=NN=NC1
315,C1N=NCO1
316,C1CC2CNCC1C2
317,C1NNC[NH2+]1
318,C1=CNSCC1
319,[O-]S
320,C1=NSCN1
321,C1=[NH+]CCCS1
322,C1CC2CNCC1C[NH2+]2
323,C1=CN=NCC1
324,C1=C[NH+]=NC1
325,C1C[NH2+]CCSC1
326,C1NCON1
327,C1CSCO1
328,C1C2CN3CCN(C2)CC1C3
329,C1N=[NH+]CN1
330,[O-]P
331,C1=C[NH2+]CCC1
332,N=O
333,C1CC2CCC(C1)N2
334,SS
335,C1=NNCSC1
336,C1=NCNCN1
337,C1=NCCC[NH2+]1
338,C1=CC2CCC(C1)N2
339,C1CC2C[NH2+]C(C1)C2
340,C1CSC1
341,C1N=NCN1
342,C1CC2CCC(C[NH2+]1)N2
343,C1=NCCCS1
344,C1CCNNC1
345,C1C[NH2+]1
346,C1NNCS1
347,C1=NSSC1
348,C1=CCCCC=C1
349,C1=CCCCCC=C1
350,C1=[NH+]NCN1
351,C1=CONC1
352,C1=CC=CCC=C1
353,C1NCNN1
354,C1CC2CCCC(C1)[NH2+]2
355,C1CC2CCC1CC2
356,C1CNS[NH2+]C1
357,C1=N[NH+]=CSC1
358,C1=COCN1
359,C1=NCC=NN1
360,C1CC2CC1CO2
361,C1CNNCN1
362,C1=CSCCN1
363,C1CSCCSC1
364,C1=NCCCNC1
365,C1=N[NH+]=CCC1
366,C1CCCC2CCC(CC1)C2
367,C1=CC2CCCC(C1)C2
368,C1CC2COC(C1)O2
369,C1CC2CC[NH+](C1)C2
370,C1CSCS1
371,C1=CC=COC=C1
372,C1C[NH+]2CC[NH+]1CC2
373,C1CSN=N1
374,C1=NN=CSC1
375,C1=[NH+]CCCCC1
376,C1=NCN=C1
377,C1=NCN=N1
378,C1CC2CCC(CN1)N2
379,C1NC[NH2+]CN1
380,C1=NOC[N-]1
381,C1COCCOCCOCCO1
382,C1NC2CNC1C2
383,C1=NNCCS1
384,C1=C[NH+]=CCC1
385,C1=NCCN=N1
386,C1=[NH+]CCCN1
387,C1=NNCCP1
388,C1CCCCCCCCCCC1
389,C1CCN2CC3CC(CN(C1)C3)C2
390,C1=CN=CCNC1
391,C1=NNSCC1
392,C1=CSCC=N1
393,C1=NCCC1
394,C1CC2CCC(C2)O1
395,C1=[NH+]CNCN1
396,C1=CNCCN=C1
397,C1=CN=CCSC1
398,C1=CSCCO1
399,C1COCCOCCOCCOCCOCCOCCOCCO1
400,C1=CCNNC1
401,C1=NC2CC(CCO2)N1
402,C1=CCC=C1
403,C1=NCCOC1
404,C1=COCCN=C1
405,C1=NCN=CC1
406,C1=CC2COCC(C1)C2
407,C1CN2CCN1CC2
408,C1=NCC[NH2+]1
409,C1=CNC=[NH+]C1
410,C1=[NH+]CCCC1
411,C1NCC2C[NH2+]CC1C2
412,C1=CSSC1
413,C1=NNCCCO1
414,N[PH3+]
415,C1CCN[PH2+]NC1
416,[PH4+]
417,C1N=NN=N1
418,C1CN=NC1
419,C1=CNSN=C1
420,C1C2CN3CC1CN(C2)C3
421,C1=CCCCCCCCCOCC=C1
422,C1=C[N-]C=N1
423,C1=NCN[N-]1
424,C1=CNCN=CC1
425,C1=CCC[NH2+]CC1
426,C1CC2CC[NH2+]C(C1)C2
427,C[SH2+]
428,C1CC[SH+]C1
429,C1[NH2+]C2CNC1C2
430,C1CCCCCCCCC1
431,[NH3+]S
432,C1CC[NH+]=NC1
433,C1=CSC=[NH+]C1
434,C1NNCO1
435,C1=CNN=C[NH+]=C1
436,C1CC2CC(C1)C2
437,C1=NC=[NH+]C=N1
438,C1CC2CCC1[NH2+]2
439,C1NN1
440,C1=NCC=[NH+]1
441,C1NCN1
442,C1CCONC1
443,C1CC2CCCC(C1)C2
444,C1C[NH2+]CCC[NH2+]C1
445,C1CC2C[NH2+]CC(C1)C2
446,C1=NCCOCC1
447,C1=NCC[NH+]=C1
448,C1=CSCNC1
449,C1CC2CC1C2
450,C1NCSS1
451,C1=NCCN=[NH+]1
452,C1=NNC[N-]1
453,C1=CSCS1
454,C1=COCCCC1
455,C1=COCCC[NH2+]C1
456,C1=CN=CSC1
457,C1=[NH+]CCCCN1
458,C1=CC2CCC(C1)[NH2+]2
459,[NH-][NH3+]
460,C1SCSCS1
461,C1=CCCC=CC1
462,C1=[NH+]CCO1
463,P=S
464,C1=NNPC1
465,C1=NC=NNC1
466,C1=[NH+]CN=N1
467,C1=CNSC1
468,C1=CNNCN1
469,C1N=NNN1
470,C1=CC2C=CC1CC2
471,C1C2CN3CN1C[NH+](C2)C3
472,C1=CSCO1
473,C1=C[NH+]=N[NH]1
474,C1=C2C[NH2+]C3CC4NCCC(OC1)C4C2C3
475,[NH-]O
476,C1=CC=[O+]C=C1
477,C1=NO[NH+]=C1
478,C1N=[NH+]CS1
479,C1C[NH+]2CCC1NC2
480,C1CCCCNCCC1
481,C1=CN=C[N-]C1
482,C1=CCOCCC1
483,C1=NCSS1
484,C1=NSCC[N-]1
485,C1=CNNN1
486,C1COPOC1
487,C1=NCCCSC1
488,C1=CCCNC=C1
489,C1CNCSCCN1
490,C1=CCCSCC1
491,C1CN2CCC(CC2)[NH2+]1
492,C1CN2CC3CN1C[NH+](C3)C2
493,C1=NCCSCC1
494,C1CC2COC(C1)C2
495,[CH2-]C
496,C1=CCCCCC=CCC1
497,C1NCC2CNCC1O2
498,C1=CCCNCC1
499,C1CCSC[NH2+]C1
500,C1CCOCCNC1
501,C1CC2CCOC(C2)N1
502,C1CC2CNCC(C1)NC2
503,C1CC2CNCC(C1)C2
504,C1=NC[NH2+]CN1
505,C1=CCC2CCC(C1)N2
506,[NH2+]=[NH2+]
507,C1CN2CCC1CC2
508,C1=NCCNN1
509,C1COCC[NH+]2CCOCCOCC[NH+](CCO1)CCOCCOCC2
510,C1=[NH+]CNC1
511,C1=CC[NH2+]CCC1
512,C1=NCSN1
513,C1CC2CCC(C1)C2
514,C1=CNCNN=C1
515,C1=COC[NH2+]C1
516,C1=[NH+]CCC[NH2+]C1
517,C1=CC2=CC=C1CCC1=CC=C(C=C1)CC2
518,C1=N[NH]C=[NH+]1
519,C1CC2CNCC1C[NH2+]C2
520,C1=CCCCCCCC=CCC1
521,C1=CN=COC1
522,C1=NCN=CN1
523,C1NCC2COCC1C2
524,C1CC2CC3CCC2C(C1)O3
525,C1=[NH+]CCN=N1
526,C1=COCC[NH2+]C1
527,C1CNPC1
528,C1=CNSNC1
529,C=[SH+]
530,C1=[NH+]CCSC[CH-]1
531,C1=C[N-]C=NC1
532,C1=CCN=CC1
533,C1=NNSC1
534,C1=CNN=CN1
535,C1CNNCCN1
536,C1COSC1
537,C1=CC2C=CCC(C=C1)NC2
538,C1=COCCOCCOCCOCCO1
539,C1OC2C[NH2+]C1C2
540,C1CC2CCCC(C1)CC2
541,SCl
542,C1=N[N-]N=N1
543,C1=NN=C[N-]1
544,C1COCCOCCSCCOCCOCCO1
545,C1=NCCC[N-]1
546,C1=CC2CNC(C2)N1
547,C1=NCNC=[NH+]1
548,C1=C[NH2+]CCN1
549,C1=CC2CC(CCO2)O1
550,C1COCCOCCOCCN1
551,C1CNCCCOC1
552,C1=NC=[NH+]CN1
553,C1CS1
554,C1=COCCCNC1
555,C1CC2CCNC(C1)C2
556,C1=CC=[NH+]N=C1
557,C1=[NH+]CNCC1
558,C1=CC2CCC1C[NH2+]2
559,C1=NN=CN=N1
560,C1N=N1
561,C1CC2CNCC1O2
562,C1=[NH+]NCC1
563,C1=NC[NH2+]C1
564,C1=NCS1
565,C1=CN=C[NH2+]C1
566,C1C[NH2+]CCNN1
567,C1=CNCC[NH+]=C1
568,C1=N[NH+]=CC1
569,C1=NCCCCC1
570,C1=CC2CCC1NN2
571,C[OH2+]
572,C1COC[N-]1
573,C1=CC2CNCC(C1)C2
574,C1=C[NH2+]CC1
575,C1=C[S+]=CS1
576,[NH3+]O
577,C1=NNCSCC1
578,C1=C[N-]CN=C1
579,C1NNCNN1
580,C1=C[NH2+]CCN=C1
581,C1=C[NH2+]NC1
582,C1CNCCC[NH2+]C1
583,C1CN[NH2+]C1
584,C1CCCCCCCC1
585,C1=N[N-]N=C1
586,PS
587,C1=CSC=CS1
588,C1CNNCNN1
589,C1CC2C3CC1C2CO3
590,C1=CC2CC1CN2
591,C1=NCCSN1
592,C1=C[N-]CC1
593,C1=COC[NH2+]1
594,C1=N[NH][NH+]=C1
595,C1=CS[NH+]=C1
596,C1CN=[NH+]C1
597,C1=CC2CCC(C1)NC2
598,C1=CC2CCCC1CC2
599,C1=CSOC1
600,C1=NCCCCN1
601,C1NN=NS1
602,C1=NCCC=NN1
603,C1OC2CNC1C2
604,C1CS[N-]CN1
605,C1=NCCN=CCC1
606,C1=CNC[NH+]=C1
607,S=S
608,C1=NCN=CO1
609,C1COCON1
610,C1=NN[N-]N1
611,C1=CSC=CC1
612,C1=NC=[O+]C=N1
613,C[PH3+]
614,C1CNSCCN1
615,C1=C[NH+]=CSC1
616,C1=CN=NN=C1
617,C1=CNC=CNC1
618,C1CSSCCSS1
619,C1CCOCCCCOC1
620,C1=CC2CC(C=CO2)O1
621,C1=NSN=CC1
622,C1C[NH2+]CC[NH2+]C1
623,C1CC2NCCC(N1)O2
624,C1CNSN1
625,C1COCSN1
626,C1CSCCSCCS1
627,C1=NNNN1
628,C1=CC=C2CCCCC(=C1)C2
629,[NH3+]F
630,C1CC2CCC1C[NH2+]C2
631,C1=[NH+]NCCN1
632,N[O-]
633,C1=CN=P[NH+]=C1
634,C1=C[NH+]2CCC1CC2
635,C1COPN1
636,C1C[NH+]=NCN1
637,C1=NCNS1
638,C1=CSCCNC1
639,C1=CNCCCC1
640,C1=C[NH+]=CC=N1
641,C1=NNCCCN1
642,C1=CNPN=C1
643,C1=[NH+]C2CCOC(C2)N1
644,C1CC2CCC(C[NH2+]1)C2
645,NBr
646,NCl
647,C1CSNS1
648,C1COSO1
649,C1=CC2=NC(=C1)CSCC1=CC=C(C=C1)CSC2
650,N1NNN1
651,C1CSSCCNN1
652,C1=CNCOC1
653,C1CCC2CCC(CC1)C2
654,C1=CN=[SH]CC1
655,C1CC2CC[NH+]3CCC1CC23
656,C1CC2CCC(C1)NN2
657,C1=CC2C=CC(CC2)N1
658,C1=[NH+]CCNCC1
659,C1COPO1
660,C1CN[NH2+]N1
661,C1=C2COCCCCCCOC(CCNC1)C2
662,C1=CC2CCOC(C2)N1
663,C1=CSCNN1
664,C1CCN[NH2+]CC1
665,C1CC2OC(CCS2)S1
666,C1=NNC[NH2+]C1
667,C1CSNN1
668,C1=N[NH+]=CNC1
669,C1C[NH2+]CSC1
670,C1=NCSCC1
671,C1C2C3CC4C5CC(C1C35)C24
672,C1=CC2CCCC1O2
673,C1=NCCCCO1
674,C1=CC2CC1CS2
675,C1CCNCCOCC[NH2+]CCOCCNCC1
676,C1CC2CNCC(C2)N1
677,C1=CC2CCCC1C2
678,C1CC[NH2+]NC1
679,C1CSCCSCCCSCCSC1
680,C1=CC2CC(O1)C1OCC2O1
681,C1NN[NH2+]N1
682,C1=NNCN=N1
683,C1NCSC[NH2+]1
684,C1CC2CCC1C[NH2+]2
685,C1C[NH+]2C3CC4CC(C1C3)C2C4
686,C1CNPOC1
687,C1=CSC[N-]1
688,C1=NC[NH+]=C1
689,C1=NC=N[NH+]=C1
690,C1CCOCOC1
691,C1NC2CC(N1)C1OCC2O1
692,C1C[NH2+]SN1
693,C1NCOCN1
694,C1N=[NH+]CO1
695,C1CCC2C3CCC2C(C1)C3
696,C1=C[NH2+]CCCN1
697,C1=NCCN=CC1
698,C1C2CN3CC1C[NH+](C2)C3
699,C1=CC2C3C=CC1SC23
700,C1=CC2C[NH2+]CC(C1)C2
701,C1COCNN1
702,C1=CC2CC[NH2+]C(C1)C2
703,C1=C[N-]CCC1
704,C1=[NH+]C=[NH+]CC1
705,C1=C[NH+]=NC=N1
706,C1=CCNCC=C1
707,OF
708,C1COCCOCCOCC[NH2+]1
709,C1=NC=[NH+]C1
710,C1=C[NH+]=COC1
711,C1=CC2CCC(C1)C2
712,[SH3+]
713,C1=CCCSCCC1
714,C1NC2CC3CC1CC(C3)C2
715,C1NOCNO1
716,C1=CC2CCC1CN2
717,C1=CCNCC=CCNC1
718,C1COCCOCC[NH2+]CCOCCOCCN1
719,C1=NNCNN1
720,C1=C[NH2+]CN=C1
721,C1=NCOCS1
722,C1CNCC[N-]1
723,C1=NOCCN1
724,C1=NCC=[NH+]C1
725,C1=CC[NH2+]C=C1
726,C1COCCOCCOCCOCCOCC[NH2+]1
727,C1=NC=NCCC1
728,C1COSCCS[N-]1
729,C1CNCCCNC1
730,C1=NNCNCC1
731,C1NNN=[NH+]1
732,C1=NCC[O+]=C1
733,C1=CC2CC(NCN2)O1
734,C1CSC[N-]1
735,C1=NCCP1
736,C1N[NH2+]1
737,C1=CC2C=CC(C1)C2
738,C1CC2NCC1S2
739,C1=CC2C3C=CC1CCC23
740,C1C[N-]NC1
741,C1=CCCCOCCCCCCCC1
742,C1=CC1
743,C1CC2CCCC(C1)S2
744,C1CCCCCOCCCCC1
745,C1CC2COCC1N2
746,C1=CPNC=N1
747,C1CC2CN(C1)CN2
748,C1=CCC2C=C(CCCC1)CO2
749,NF
750,C1COCCOCCOCCOCCOCCO1
751,C1=CSC1
752,C1CN2CCC1CN2
753,C1=[NH+]CNS1
754,C1=NN=COC1
755,C1=COC=NC1
756,C1CC[N-]C1
757,C1C[NH2+]CCNCC[NH2+]CCNCC[NH2+]CCN1
758,C1=CCNCNC1
759,C1=C[N-]N=C1
760,C1=CCC[NH2+]CCCCC1
761,C1CCC2CC(CC1)C2
762,C1=CNPC=C1
763,C1=NCNPN1
764,C1=CSC=NC1
765,C1=CSCC=[NH+]1
766,C1CCOCC[NH2+]C1
767,C1COCCOCCOCCOCCN1
768,C1CC2CCC1C[NH+]=[NH+]2
769,C1COCPCO1
770,C1NOSN1
771,C1=CC2C=CC1C2
772,C1CC2CCC1CO2
773,C1=CC[O+]=C1
774,C1N=NN[NH2+]1
775,P[S-]
776,C1CC2COC(C1)OO2
777,C=[N-]
778,C1N=C2OC3CC1C2CO3
779,C1=NCCCC[NH2+]1
780,C1=[NH+]CCCO1
781,C1=CSCCOCN1
782,C1CC2C[NH2+]CC1O2
783,C1=CC2CC1NN2
